Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,200,4.5,
,,,5790,0,
,,,1490,-1.5,
,,,3140,0,
,,,910,2,
,,,16620,-2,
,,,570,-4,
,,,5000,-2.5,
,,,800,3.5,
,,,170,-4,
,,,320,2,
,,,390,-3,
,,,420,2,
,,,1640,1,
,,,410,-4,
,,,780,2.5,
,,,640,-2.5,
,,,1890,-2,
,,,3650,5,
,,,880,-3,
,,,16500,-3.5,
,,,750,-4,
,,,3160,-1.5,
,,,1750,-3,
,,,4900,2,
,,,530,3,
,,,300,-1.5,
,,,2850,4,
,,,3570,-1.5,
,,,1710,-1.5,
,,,4680,-6.5,
,,,2420,-1.5,
,,,400,-1.5,
,,,1740,1.5,
,,,630,-4,
,,,550,-3,
,,,7500,1.5,
,,,3050,-5,
,,,3900,-6,
,,,13510,0.5,
,,,190,-6.5,
,,,620,-7,
,,,1320,-1.5,
,,,2790,-0.5,
,,,710,-1.5,
,,,6670,-4.5,
,,,1500,-3,
,,,4410,-2.5,
,,,1970,0,
,,,2300,0,
,,,19630,-3.5,
,,,1800,0,
,,,1290,-8,
,,,7890,-4,
,,,2130,-1.5,
,,,170,-3.5,
,,,5790,-3,
,,,5090,-2,
,,,140,-4,
,,,1400,-4,
,,,19640,-1,
,,,730,-1.5,
,,,2540,4.5,
,,,1920,-5.5,
,,,1150,-3.5,
,,,2170,-1.5,
,,,590,0.5,
,,,520,3.5,
,,,610,-2,
,,,1610,-2.5,
,,,1660,1.5,
,,,190,-0.5,
,,,500,-1.5,
,,,160,-1,
,,,320,2,
,,,2600,-5,
,,,200,-2,
,,,1300,-1.5,
,,,2260,-1,
,,,430,1,
,,,370,-4,
,,,300,-2.5,
,,,7190,-5.5,
,,,2110,-4,
,,,220,-2,
,,,3690,-2,
,,,250,-1.5,
,,,390,0,
,,,7750,0,
,,,570,-1.5,
,,,330,-1,
,,,1840,-5.5,
,,,200,6.5,
,,,2640,-2.5,
,,,4670,-5,
,,,690,1.5,
,,,2350,-3.5,
,,,540,1,
,,,690,-1.5,
,,,2650,2,
,,,770,-1,
,,,1960,-9,
,,,1910,-7,
,,,710,-2,
,,,490,-5,
,,,250,2,
,,,160,3.5,
,,,1180,-1.5,
,,,860,-3.5,
,,,8690,-2.5,
,,,2740,-3.5,
,,,10030,-9.5,
,,,830,-3.5,
,,,1950,-1,
,,,7210,-1,
,,,6110,-0.5,
,,,1680,0,
,,,130,-1,
,,,1370,-6,
,,,2390,-2,
,,,3550,-4,
,,,290,-1.5,
,,,890,-3.5,
,,,2400,5.5,
,,,3730,0,
,,,2300,-3.5,
,,,390,0,
,,,4870,4.5,
,,,4690,-1.5,
,,,7090,-1,
,,,560,2,
,,,6410,2.5,
,,,1010,-4,
,,,3400,0.5,
,,,4090,-2.5,
,,,1210,-2.5,
,,,2420,-1.5,
,,,1230,-4.5,
,,,660,-8,
,,,3130,3,
,,,2580,-2.5,
,,,5710,-6,
,,,3430,-2,
,,,370,-2.5,
,,,1150,-2,
,,,5130,-2.5,
,,,750,0.5,
,,,540,-0.5,
,,,1050,-3,
,,,890,-1,
,,,2820,1,
,,,1410,-2,
,,,370,-2.5,
,,,2320,0,
,,,460,0.5,
,,,13490,1,
,,,1370,-3.5,
,,,730,1.5,
,,,4380,2,
,,,6120,6,
,,,4680,-3,
,,,910,-2,
,,,11180,6,
,,,480,-2,
,,,760,-2.5,
,,,3180,-3,
,,,150,4.5,
,,,1610,-8,
,,,1150,-3,
,,,2160,-1,
,,,850,-1,
,,,3060,-0.5,
,,,2200,3,
,,,420,-1.5,
,,,1670,-1.5,
,,,1710,5,
,,,180,3,
,,,570,-1,
,,,1330,-0.5,
,,,410,-3,
,,,1010,0.5,
,,,1810,-13.5,
,,,4430,-0.5,
,,,3190,-3,
,,,1540,-2,
,,,2200,2.5,
,,,1570,-9,
,,,630,-7.5,
