Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,1040,6,
,,,3600,-2.5,
,,,17800,-1,
,,,6440,2.5,
,,,5360,-0.5,
,,,4510,-7.5,
,,,230,3,
,,,3240,-1.5,
,,,4570,-6.5,
,,,4140,-4.5,
,,,1080,5,
,,,4720,-5,
,,,5800,-9.5,
,,,5280,2.5,
,,,520,0.5,
,,,7080,0.5,
,,,1670,-2,
,,,610,-1,
,,,300,-1,
,,,1070,-2.5,
,,,680,-4.5,
,,,2010,-2,
,,,2500,4.5,
,,,3730,-1.5,
,,,1150,-5,
,,,2180,4,
,,,6010,-3.5,
,,,400,-1,
,,,920,4,
,,,520,-3,
,,,690,3.5,
,,,5490,-2,
,,,9240,-7.5,
,,,2660,0,
,,,1190,0,
,,,3080,-1.5,
,,,8240,-0.5,
,,,330,0.5,
,,,5340,2,
,,,690,-1,
,,,3630,-3,
,,,2000,-3,
,,,6580,-2,
,,,1660,3,
,,,6740,-2,
,,,940,-1,
,,,830,-9,
,,,1090,-1.5,
,,,2420,1.5,
,,,5470,-0.5,
,,,180,-3,
,,,1570,1,
,,,2510,2,
,,,720,-0.5,
,,,2290,0,
,,,7380,0,
,,,1030,-7.5,
,,,1040,-1.5,
,,,5610,-3,
,,,18500,1,
,,,1550,0.5,
,,,4580,-4.5,
,,,2710,0,
,,,2230,-1,
,,,1280,-1,
,,,4520,-6,
,,,1010,2,
,,,3440,-5,
,,,1300,-7.5,
,,,1980,0.5,
,,,1550,0,
,,,5150,-1,
,,,1630,-1,
,,,520,-2.5,
,,,250,-2,
,,,340,6.5,
,,,2110,2,
,,,1840,-3,
,,,5560,-4.5,
,,,2110,-1,
,,,10590,-8,
,,,1720,3,
,,,400,-6,
,,,1710,-0.5,
,,,1370,-3.5,
,,,1540,-4,
,,,8490,-1,
,,,1660,-4.5,
,,,6930,0,
,,,7120,-2,
,,,1030,-0.5,
,,,4600,-5,
,,,3980,5,
,,,3150,-0.5,
,,,9120,0,
,,,2520,-0.5,
,,,4370,-2.5,
,,,4380,-3.5,
,,,1120,3,
,,,4020,5.5,
,,,3890,-1.5,
,,,3520,0,
,,,450,-1.5,
,,,1740,-2,
,,,2360,3,
,,,10590,-0.5,
,,,5860,-3.5,
,,,4030,-2,
,,,3630,0,
,,,480,-0.5,
,,,220,-4,
,,,630,0,
,,,16440,-1.5,
,,,3910,3.5,
,,,3600,0,
,,,3900,3.5,
,,,6590,0.5,
,,,2360,0,
,,,2740,-13,
,,,3180,-6,
,,,710,4,
,,,2670,-2,
,,,1220,2,
,,,3680,-7.5,
,,,290,-3,
,,,130,-4,
,,,7390,3.5,
,,,2180,2,
,,,5370,-1.5,
,,,340,-2,
,,,470,-0.5,
,,,120,0,
,,,6680,-2.5,
,,,1930,-1,
,,,760,-1,
,,,460,2,
,,,3040,-3,
,,,440,-1.5,
,,,4390,0.5,
,,,13290,4,
,,,930,-3,
,,,3950,-5.5,
,,,240,-1,
,,,1990,0,
,,,130,-1.5,
,,,140,2,
,,,1180,-1.5,
,,,2400,-1.5,
,,,3900,-3.5,
,,,320,2.5,
,,,3250,0.5,
,,,910,1,
,,,5340,-5,
,,,6450,0,
,,,4410,8,
,,,200,2,
,,,12420,-3,
,,,1480,0,
,,,2030,-0.5,
,,,2590,-4,
,,,280,-1,
,,,15330,-6,
,,,320,3.5,
,,,1840,-1.5,
,,,1150,-1,
,,,18040,-2,
,,,750,-1.5,
,,,1340,-4.5,
,,,3570,-7,
,,,2310,-5,
,,,2850,1.5,
,,,5280,-3.5,
,,,550,1,
,,,840,-0.5,
,,,520,-1,
,,,850,0,
,,,1550,-1,
,,,4110,-4.5,
,,,1990,2,
,,,1340,-1,
,,,120,4,
,,,1620,7,
,,,4750,-0.5,
,,,3540,0,
,,,1460,-2.5,
,,,3360,-2.5,
,,,500,-5,
,,,2830,-3.5,
,,,770,5,
,,,2470,-0.5,
,,,1130,-0.5,
,,,1710,-2.5,
,,,4690,-6,
,,,600,-0.5,
,,,3990,1,
,,,3580,-2,
,,,320,0.5,
,,,1090,4,
,,,420,-4,
,,,4920,-4,
,,,15600,0,
,,,3460,-3,
,,,590,-5,
,,,1280,-1.5,
,,,1300,-1,
,,,960,-4,
,,,3470,-2,
,,,1090,0,
,,,390,-1,
,,,340,-1,
,,,2530,-1.5,
,,,1080,-1.5,
,,,1280,2.5,
,,,1940,-2,
,,,180,-1.5,
,,,6440,1.5,
,,,820,-1.5,
,,,270,-7,
,,,1100,5,
,,,680,-1.5,
,,,210,-2,
,,,2350,1.5,
,,,290,-2.5,
,,,4540,-5.5,
,,,3570,2,
,,,850,-9.5,
,,,3200,-0.5,
,,,630,0,
,,,400,2,
,,,160,-1.5,
,,,1450,-4.5,
,,,11340,4.5,
,,,1030,-1,
,,,12490,1,
,,,780,0,
,,,1020,-3,
,,,3650,-4.5,
,,,9690,-4.5,
,,,1240,1.5,
,,,600,-5.5,
,,,5990,-8,
,,,1340,4.5,
,,,2520,-6.5,
,,,980,1,
,,,1820,0.5,
,,,3870,-0.5,
,,,3750,-2,
,,,1320,-0.5,
,,,400,2,
,,,1450,1.5,
,,,1560,2,
,,,390,-10.5,
,,,3030,-2,
,,,1210,-5,
,,,7940,1.5,
,,,6500,-4,
,,,9420,-3.5,
,,,3350,-2,
,,,250,-2.5,
,,,490,-713,
,,,520,-4,
,,,2010,1,
,,,870,-3,
,,,710,-1,
,,,4860,-1,
,,,2410,-4.5,
,,,1240,-6,
,,,8380,-6.5,
,,,5270,-0.5,
,,,1360,-1,
,,,920,1,
,,,780,4.5,
,,,490,1.5,
,,,760,1,
,,,8510,0.5,
,,,1760,-2.5,
,,,240,-2.5,
,,,3560,-2,
,,,650,-0.5,
,,,700,3.5,
,,,1100,-8,
,,,1020,4.5,
,,,1960,-1.5,
,,,5430,0.5,
,,,550,-1.5,
,,,1460,-4,
,,,1540,-1.5,
,,,1130,-1,
,,,110,1,
,,,2070,3,
,,,510,-4,
,,,1580,-5,
,,,500,-2,
,,,530,0,
,,,2850,-1.5,
,,,7530,-2,
,,,3800,0,
,,,1570,0.5,
,,,560,-0.5,
,,,480,-1,
,,,2680,-1.5,
,,,3740,4,
,,,1030,-0.5,
,,,3540,1.5,
,,,16940,-1,
,,,9360,-4,
,,,500,5,
,,,150,-4,
,,,6620,0,
,,,160,-1,
,,,9100,2,
,,,10630,2.5,
,,,650,-1.5,
,,,370,-2.5,
,,,850,-1,
,,,1320,0,
,,,3420,-2,
,,,4660,6,
,,,4650,0.5,
,,,8300,-2.5,
,,,16820,-1,
,,,2260,0.5,
,,,590,-3,
,,,970,-3,
,,,2950,2,
,,,3260,-1.5,
,,,430,-3,
,,,3010,-1,
,,,680,0.5,
,,,3060,-2.5,
,,,4830,3.5,
,,,12540,-8.5,
,,,2350,0,
,,,3560,-10,
,,,470,1.5,
,,,610,-4,
,,,1960,3.5,
,,,1390,-5.5,
,,,880,-0.5,
,,,4530,2,
,,,3340,-4.5,
,,,390,-2.5,
,,,1360,1,
,,,260,0.5,
,,,1050,0,
,,,2200,-2,
,,,2250,1,
,,,3610,-3,
,,,650,-0.5,
,,,1020,-2.5,
,,,140,-7,
,,,1620,-1,
,,,1230,1,
,,,1770,-2,
,,,1990,1,
,,,220,0.5,
,,,1730,-2,
,,,1260,0,
,,,5430,-7,
,,,2040,-2.5,
,,,2210,0,
,,,1210,-1,
,,,260,-1.5,
,,,1250,1.5,
,,,160,-0.5,
,,,460,-7,
,,,1110,-1.5,
,,,690,-5.5,
,,,2450,-1.5,
,,,12060,0,
,,,1140,1.5,
,,,210,2,
,,,3040,-1.5,
,,,3230,-1,
,,,1680,-161.5,
,,,1110,-5.5,
,,,710,-5.5,
,,,2000,-6.5,
,,,710,-4.5,
,,,640,-4.5,
,,,1010,-3.5,
,,,1920,-5,
,,,3280,0,
,,,1080,-6,
,,,1540,-6.5,
,,,2550,-5.5,
,,,15990,-2,
,,,2670,-1,
,,,1760,-7.5,
,,,1550,-6.5,
,,,950,1,
,,,490,-2,
,,,4090,-2,
,,,980,-9.5,
,,,1000,-3.5,
,,,360,0.5,
,,,1670,-2,
,,,1070,-3.5,
,,,410,1,
,,,2580,-0.5,
,,,2490,3.5,
,,,2500,-6,
,,,1240,3,
,,,540,-1,
,,,670,0.5,
,,,4350,-4,
,,,4850,-5.5,
,,,2850,-1,
,,,190,-0.5,
,,,1220,-2.5,
,,,1930,2.5,
,,,4450,-1.5,
,,,19180,5,
,,,330,0,
,,,3280,-1,
,,,1370,-5,
,,,230,0,
,,,2090,-2,
,,,6330,-2.5,
,,,1620,0.5,
,,,690,6,
,,,3270,0.5,
,,,1720,-0.5,
,,,600,-1.5,
,,,3390,-8.5,
,,,1480,-0.5,
,,,430,-3.5,
,,,1910,-6.5,
,,,4020,2.5,
,,,5490,-3.5,
,,,5070,1.5,
,,,3110,-3,
,,,7250,0.5,
,,,550,-4,
,,,740,1,
,,,4430,2,
,,,9040,0.5,
,,,10540,1,
,,,2790,-1.5,
,,,2390,-3.5,
,,,920,-4,
,,,2910,0.5,
,,,2470,1,
,,,1450,-1.5,
,,,1960,-1.5,
,,,4400,-2.5,
,,,2210,-3.5,
,,,13150,2,
,,,1900,-4,
,,,2750,1,
,,,730,-0.5,
,,,190,-2,
,,,2040,-4,
,,,140,-3.5,
,,,3700,32,
,,,3400,-6,
,,,780,-0.5,
,,,710,-0.5,
,,,970,-3,
,,,3520,1,
,,,830,1.5,
,,,230,-2.5,
,,,2970,1,
,,,2760,-0.5,
,,,2600,-5,
,,,830,-4.5,
,,,10020,-3,
,,,15180,-0.5,
,,,3310,-1,
,,,2340,0,
,,,2720,-3.5,
,,,2530,-3.5,
,,,8310,6,
,,,5630,-1.5,
,,,380,-5,
,,,120,1.5,
,,,690,-1.5,
,,,640,1,
,,,7190,-3,
,,,3210,-3,
,,,2090,1.5,
,,,360,-4.5,
,,,3910,-2,
,,,1410,0,
,,,2620,6.5,
,,,1830,-1,
,,,1390,0,
,,,120,1,
,,,4000,-7,
,,,2360,-4.5,
,,,1160,-6,
,,,17540,6,
,,,2810,0,
,,,330,-2,
,,,3050,1,
,,,200,-1.5,
,,,2960,-7,
,,,330,-3.5,
,,,540,1.5,
,,,820,2,
,,,4730,0.5,
,,,450,0.5,
,,,4780,2.5,
,,,3720,-1.5,
,,,9010,-1,
,,,2340,-1,
,,,1240,-0.5,
,,,340,2,
,,,1530,3.5,
,,,1830,-2,
,,,540,-5,
,,,2580,-8,
,,,2200,-0.5,
,,,1980,-0.5,
,,,6160,-3.5,
,,,1850,-3.5,
,,,3010,-2,
,,,1400,-2.5,
,,,160,-3,
,,,1890,-1,
,,,3250,0.5,
,,,2120,0,
,,,120,-1,
,,,5270,-2,
,,,16920,2,
,,,2330,-1,
,,,4790,1,
,,,1650,-6,
,,,3450,2,
,,,3350,-3.5,
,,,480,2.5,
,,,1550,-5.5,
,,,1440,1.5,
,,,1670,0,
,,,1870,-2,
,,,3900,-0.5,
,,,2210,0,
,,,1950,0.5,
,,,670,-2,
,,,3380,-3.5,
,,,2260,2.5,
,,,830,-3,
,,,1050,-2,
,,,700,-3,
,,,960,-1,
,,,1750,0.5,
,,,530,-3,
,,,2730,1.5,
,,,1860,0,
,,,680,-7.5,
,,,3350,4.5,
,,,3180,-1,
,,,350,-2.5,
,,,3960,1,
,,,530,0,
,,,5550,-2,
,,,3800,-1.5,
,,,3110,0.5,
,,,580,-0.5,
,,,3220,0.5,
,,,2400,-1,
,,,3590,-0.5,
,,,350,3,
,,,240,2.5,
,,,880,-1.5,
,,,830,-1,
,,,8360,-1,
,,,1640,-6,
,,,210,-8.5,
,,,1030,-5,
,,,470,0,
,,,1170,0.5,
,,,6490,-4.5,
,,,280,-0.5,
,,,790,-7.5,
,,,2270,1,
,,,960,-2,
,,,1230,-1,
,,,390,-3.5,
,,,3560,2.5,
,,,4340,10.5,
,,,1170,-3.5,
,,,2820,-1.5,
,,,10600,1,
,,,1480,-2.5,
,,,130,1.5,
,,,720,1.5,
,,,1690,-7.5,
,,,1910,0.5,
,,,370,3,
,,,2920,-2,
,,,450,-5.5,
,,,1030,2.5,
,,,2350,-2,
,,,520,-1.5,
,,,220,-6,
,,,470,-1,
,,,1100,4.5,
,,,330,3,
,,,220,-1,
,,,2080,1,
,,,4330,3.5,
,,,4680,-5.5,
,,,1090,-7.5,
,,,610,1.5,
,,,3500,-4,
,,,940,3.5,
,,,2770,-2,
,,,4890,-0.5,
,,,1390,1,
,,,12270,-0.5,
,,,1470,-3.5,
,,,900,2.5,
,,,3310,-6.5,
,,,1350,-0.5,
,,,550,-2.5,
,,,1100,-1.5,
,,,5250,-3,
,,,16690,-8,
,,,800,-1.5,
,,,1440,3.5,
,,,4250,-0.5,
,,,3030,-6,
,,,2580,-2,
,,,1290,5,
,,,1180,2,
,,,640,-2,
,,,4240,-2,
,,,430,-0.5,
,,,800,-7.5,
,,,1720,2.5,
,,,360,4.5,
,,,2070,-4.5,
,,,5600,2.5,
,,,1250,0,
,,,5380,6.5,
,,,7900,-3,
,,,1530,1.5,
,,,1990,-0.5,
,,,330,-2,
,,,270,0,
,,,1630,-2.5,
,,,5240,-0.5,
,,,520,0,
,,,660,-6,
,,,5450,-6.5,
,,,5820,-1,
,,,260,-4,
,,,110,-4,
,,,4640,-2,
,,,750,630,
,,,350,-1,
,,,7290,-1,
,,,2290,-4.5,
,,,900,2,
,,,310,1.5,
,,,400,1,
,,,2970,-3,
,,,250,-3.5,
,,,1240,-1,
,,,230,1,
,,,4170,-7.5,
,,,2670,-8,
,,,1200,6,
,,,2630,-1,
,,,1710,-1.5,
,,,1330,3,
,,,660,-6.5,
,,,350,1.5,
,,,1790,-2.5,
,,,470,-3,
,,,2960,-0.5,
,,,240,-10,
,,,3250,-3,
,,,300,-3,
,,,980,-1,
,,,170,-1,
,,,7530,-3,
,,,1520,-0.5,
,,,1050,-7,
,,,2660,1,
,,,990,-4,
,,,460,-2,
,,,4800,-3.5,
,,,4790,-1.5,
,,,5530,1,
,,,1400,0.5,
,,,1050,0.5,
,,,340,-3,
,,,540,1.5,
,,,760,-4.5,
,,,2210,-4,
,,,18890,2,
,,,1370,-2.5,
,,,1310,0,
,,,1730,4,
,,,2390,5.5,
,,,1620,-1,
,,,790,-3,
,,,2840,-3,
,,,2790,-8,
,,,1060,6.5,
,,,4570,7,
,,,1810,-3,
,,,910,-3.5,
,,,1500,1.5,
,,,3990,-1.5,
,,,190,0,
,,,2210,-8,
,,,930,3.5,
,,,1890,-2,
,,,3070,3.5,
,,,1930,-2,
,,,2310,-2,
,,,5480,0,
,,,1000,6,
,,,730,5,
,,,6890,3.5,
,,,2650,-0.5,
,,,2390,-4.5,
,,,750,-0.5,
,,,750,-2,
,,,830,-2,
,,,4200,-1.5,
,,,3580,-3,
,,,5530,3.5,
,,,1760,6,
,,,140,2.5,
,,,1230,-2.5,
,,,940,-2,
,,,640,2,
,,,350,4.5,
,,,1470,-1,
,,,1380,0,
,,,240,-2.5,
,,,2290,0.5,
,,,1540,5,
,,,3870,-0.5,
,,,4050,0,
,,,970,-6.5,
,,,2250,-3,
,,,3490,4,
,,,870,1.5,
,,,11580,-4.5,
,,,8470,0,
,,,2130,-4,
,,,2810,-3.5,
,,,3230,-1,
,,,700,1,
,,,3840,-2,
,,,5910,-5.5,
,,,850,-2.5,
,,,2280,0,
,,,310,2.5,
,,,150,-2,
,,,4380,-4,
,,,1620,1,
,,,2680,396,
,,,6360,-6.5,
,,,3660,-1.5,
,,,1050,-1.5,
,,,17330,-2,
,,,150,-0.5,
,,,220,-1,
,,,1130,-1.5,
,,,4030,0,
,,,2900,-2,
,,,4500,-1.5,
,,,1040,-0.5,
,,,1230,5,
,,,7400,-3.5,
,,,260,1,
,,,2060,-2.5,
,,,1270,2,
,,,1340,-4,
,,,2440,-5,
,,,2970,-1.5,
,,,8620,-2.5,
,,,330,-2,
,,,320,0.5,
,,,2030,-0.5,
,,,13560,-2.5,
,,,890,-2.5,
,,,160,-9,
,,,800,-2,
,,,870,0.5,
,,,990,-2,
,,,140,-1,
,,,2310,2.5,
,,,4870,2,
,,,4450,-4,
,,,480,-7,
,,,1380,0.5,
,,,750,-0.5,
,,,650,1.5,
,,,2180,-518,
,,,3690,-1,
,,,1240,-6,
,,,840,0,
,,,2100,-3,
,,,1280,2,
,,,3480,-5.5,
,,,5080,2,
,,,710,-9,
,,,2700,-4,
,,,820,-5,
,,,230,-3,
,,,2220,-1.5,
,,,1030,-6,
,,,1710,0.5,
,,,940,-0.5,
,,,340,-2.5,
,,,5430,4,
,,,16380,-0.5,
,,,840,0,
,,,15490,0,
,,,2150,-3.5,
,,,830,7.5,
,,,4210,-4,
,,,1960,-3,
,,,170,-3.5,
,,,4420,-4,
,,,820,-3.5,
,,,1390,-2.5,
,,,170,0,
,,,3240,-2.5,
,,,10090,6,
,,,820,-3.5,
,,,4660,3.5,
,,,700,1.5,
,,,4770,0.5,
,,,960,-1.5,
,,,1780,-2.5,
,,,7910,0.5,
,,,410,-5.5,
,,,330,-4.5,
,,,12640,1.5,
,,,3240,-4,
,,,580,-2,
,,,3800,-1,
,,,630,-2,
,,,2800,-2.5,
,,,3970,0,
,,,1400,-6.5,
,,,160,3.5,
,,,2060,-0.5,
,,,4250,-9,
,,,1350,-4,
,,,1100,1.5,
,,,2750,-1.5,
,,,5940,5,
,,,730,-2.5,
,,,3840,-3,
,,,480,-2,
,,,3940,-3,
,,,2410,-0.5,
,,,2830,-1,
,,,340,4.5,
,,,1500,-4,
,,,990,0.5,
,,,1660,-3.5,
,,,1150,-0.5,
,,,2280,-1.5,
,,,900,1.5,
,,,240,-4.5,
,,,1300,-3.5,
,,,1420,-5,
,,,680,-1.5,
,,,1300,-2.5,
,,,2240,-4.5,
,,,500,1,
,,,1890,-2,
,,,1470,-4,
,,,920,-0.5,
,,,2680,0,
,,,150,2,
,,,570,-1,
,,,7460,1.5,
,,,690,-3,
,,,910,-4.5,
,,,330,-6.5,
,,,4650,-0.5,
,,,620,-5,
,,,2480,3,
,,,820,-0.5,
,,,260,-2.5,
,,,1430,-3,
,,,18130,-6,
,,,7090,-1.5,
,,,160,-1,
,,,540,-1.5,
,,,4450,0.5,
,,,3270,0.5,
,,,510,1.5,
,,,180,-5.5,
,,,130,0.5,
,,,470,-2,
,,,330,-2.5,
,,,1310,0,
,,,2420,4,
,,,910,-0.5,
,,,640,3,
,,,1020,0,
,,,290,-1,
,,,3200,-1.5,
,,,2610,-4.5,
,,,6410,2.5,
,,,490,-4,
,,,7520,-0.5,
,,,400,0,
,,,5880,0,
,,,140,-4.5,
,,,4040,-1,
,,,680,-3,
,,,1070,2,
,,,3050,-3,
,,,510,-2.5,
,,,660,-3,
,,,1090,1.5,
,,,2500,-2,
,,,11180,-5.5,
,,,1920,-0.5,
,,,3810,-4.5,
,,,2140,-3,
,,,6820,1.5,
,,,1460,1.5,
,,,7120,-2.5,
,,,470,-0.5,
,,,370,2.5,
,,,450,4,
,,,6050,391,
,,,1730,2,
,,,710,-1,
,,,2060,-4,
,,,5720,4,
,,,560,-1.5,
,,,4720,6.5,
,,,930,0,
,,,8090,0,
,,,6030,-3.5,
,,,4570,2.5,
,,,660,-1,
,,,2910,-2.5,
,,,180,0,
,,,340,-3.5,
,,,570,-1.5,
,,,1870,-3,
,,,4070,3,
,,,5200,-4,
,,,1410,2.5,
,,,4400,-5.5,
,,,2750,-2,
,,,2320,-0.5,
,,,510,-2,
,,,3570,-3.5,
,,,1110,-10,
,,,270,-2,
,,,310,-3.5,
,,,740,-1,
,,,1350,4.5,
,,,2770,-1,
,,,930,3.5,
,,,670,2.5,
,,,2900,-1.5,
,,,870,-5,
,,,370,-1,
,,,3270,0,
,,,2040,-3.5,
,,,4790,-1.5,
,,,2620,0.5,
,,,4500,0.5,
,,,4590,1.5,
,,,1340,-1.5,
,,,140,0,
,,,3810,-0.5,
,,,1670,0.5,
,,,430,-0.5,
,,,150,-1,
,,,1620,-2,
,,,3220,-6,
,,,1210,-0.5,
,,,140,-1,
,,,1920,-3,
,,,1300,-6,
,,,5540,-3,
,,,1070,-8,
,,,2670,-3,
,,,2040,-0.5,
,,,6430,-0.5,
,,,2510,-8,
,,,1640,-1,
,,,760,-2,
,,,2380,-4,
,,,860,0.5,
,,,390,-3,
,,,7620,4,
,,,1510,-3.5,
,,,930,0,
,,,200,1,
,,,600,-6,
,,,890,-4,
,,,1710,-4.5,
,,,9920,-9,
,,,2130,-2,
,,,4510,-3.5,
,,,5510,-1,
,,,2040,2.5,
,,,7490,-2.5,
,,,3400,-1.5,
,,,1230,0.5,
,,,1400,0.5,
,,,1440,-6,
,,,3240,1,
,,,,0,
,,,,-4.5,
,,,,-3,
,,,,1,
,,,,-1.5,
,,,,0,
,,,,2,
,,,,-2,
,,,,-1,
,,,,1,
,,,,-4,
,,,,-4.5,
,,,,-5,
,,,,-2.5,
,,,,-11,
,,,,-5,
,,,,8,
,,,,8,
,,,,-6.5,
,,,,-2.5,
,,,,-2,
,,,,-3.5,
,,,,-0.5,
,,,,-0.5,
,,,,1,
,,,,0.5,
,,,,2.5,
,,,,2,
,,,,-1,
,,,,-5.5,
,,,,4,
,,,,2.5,
,,,,-2,
,,,,-7.5,
,,,,-8,
,,,,-2,
,,,,-3,
,,,,1.5,
,,,,-8.5,
,,,,-1.5,
,,,,1,
,,,,2.5,
,,,,-1,
,,,,-3,
,,,,2.5,
,,,,-9,
,,,,0.5,
,,,,-4,
,,,,0,
,,,,-5,
,,,,-0.5,
,,,,-0.5,
,,,,3,
,,,,-2.5,
,,,,0,
,,,,3.5,
,,,,-3.5,
,,,,-2,
,,,,-5,
,,,,-0.5,
,,,,-2,
,,,,-7.5,
,,,,-2.5,
,,,,0.5,
,,,,-5.5,
,,,,4,
,,,,-1.5,
,,,,-4.5,
,,,,-2.5,
,,,,-5,
,,,,6.5,
,,,,0.5,
,,,,0.5,
,,,,0.5,
,,,,-5.5,
,,,,-0.5,
,,,,-3,
,,,,0,
,,,,1.5,
,,,,3,
,,,,6,
,,,,0.5,
,,,,-1,
,,,,0,
,,,,-3.5,
,,,,-3,
,,,,-4,
,,,,-3.5,
,,,,-1,
,,,,-3.5,
,,,,-0.5,
,,,,-2,
,,,,0.5,
,,,,4.5,
,,,,0,
,,,,-2,
,,,,-9,
,,,,-0.5,
,,,,-4,
,,,,-1,
,,,,3.5,
,,,,-1.5,
,,,,1.5,
,,,,0.5,
,,,,-0.5,
,,,,2.5,
,,,,-6.5,
,,,,-0.5,
,,,,1,
,,,,-4.5,
,,,,-5.5,
,,,,0.5,
,,,,-7,
,,,,5.5,
,,,,2,
,,,,-2.5,
,,,,-2.5,
,,,,-2.5,
,,,,-4.5,
,,,,0.5,
,,,,-2,
,,,,-3.5,
,,,,-1,
,,,,-4,
,,,,2,
,,,,-12,
,,,,-8,
,,,,-1,
,,,,-3,
,,,,3,
,,,,-2,
,,,,-5,
,,,,2.5,
,,,,-2,
,,,,5,
,,,,-6.5,
,,,,0,
,,,,-1,
,,,,-3,
,,,,0.5,
,,,,1,
,,,,6,
,,,,-2,
,,,,0,
,,,,4,
,,,,-3,
,,,,-1,
,,,,-4,
,,,,4.5,
,,,,0,
,,,,-3,
,,,,-5,
,,,,-3.5,
,,,,-2,
,,,,-1,
,,,,1,
,,,,-4.5,
,,,,-4,
,,,,-7.5,
,,,,-3.5,
,,,,-1.5,
,,,,-1.5,
,,,,-5,
,,,,-0.5,
,,,,-843.5,
,,,,3.5,
,,,,-6.5,
,,,,-4.5,
,,,,-6.5,
,,,,-3,
,,,,3,
,,,,-2,
,,,,-1,
,,,,-2,
,,,,-3.5,
,,,,-3.5,
,,,,0,
,,,,-1,
,,,,-0.5,
,,,,-1.5,
,,,,-4,
,,,,2.5,
,,,,0,
,,,,-1.5,
,,,,4.5,
,,,,-4,
,,,,1.5,
,,,,1,
,,,,2,
,,,,-7.5,
,,,,2,
,,,,-4,
,,,,-1,
,,,,-5.5,
,,,,2,
,,,,1,
,,,,0,
,,,,-1.5,
,,,,2.5,
,,,,2,
,,,,-8,
,,,,-2,
,,,,2.5,
,,,,2,
,,,,2.5,
,,,,0.5,
,,,,-2.5,
,,,,-1,
,,,,0.5,
,,,,0,
,,,,-0.5,
,,,,-2.5,
,,,,2,
,,,,1,
,,,,0,
,,,,-1.5,
,,,,-3,
,,,,0,
,,,,2.5,
,,,,-1.5,
,,,,-2.5,
,,,,-4,
,,,,-3.5,
,,,,-7,
,,,,0,
,,,,2,
,,,,3.5,
,,,,0.5,
,,,,-6,
,,,,-1.5,
,,,,0,
,,,,0.5,
,,,,1.5,
,,,,-2,
,,,,-1,
,,,,0.5,
,,,,-1,
,,,,-0.5,
,,,,-4.5,
,,,,-2,
,,,,6,
,,,,-4,
,,,,-1,
,,,,0.5,
,,,,0.5,
,,,,1,
,,,,-3.5,
,,,,-0.5,
,,,,-4.5,
,,,,1,
,,,,-2,
,,,,-1,
,,,,-1.5,
,,,,4.5,
,,,,-7,
,,,,-4,
,,,,-2,
,,,,-1.5,
,,,,-13.5,
,,,,2,
,,,,-0.5,
,,,,0.5,
,,,,-1.5,
,,,,0,
,,,,-4.5,
,,,,-6,
,,,,-1.5,
,,,,-4,
,,,,-6,
,,,,-3.5,
,,,,-3,
,,,,-0.5,
,,,,4,
,,,,1.5,
,,,,-2,
,,,,-6.5,
,,,,2.5,
,,,,-2,
,,,,1,
,,,,0,
,,,,3,
,,,,-0.5,
,,,,4.5,
,,,,0,
,,,,-2.5,
,,,,0,
,,,,2.5,
,,,,-6.5,
,,,,1,
,,,,-4,
,,,,9.5,
,,,,-2.5,
,,,,3,
,,,,-6,
,,,,0,
,,,,-0.5,
,,,,-2,
,,,,4,
,,,,-0.5,
,,,,-1,
,,,,0.5,
,,,,-3.5,
,,,,-4,
,,,,-5.5,
,,,,-0.5,
,,,,-740,
,,,,-6,
,,,,1,
,,,,-1,
,,,,-4,
,,,,4,
,,,,-2,
,,,,0,
,,,,-0.5,
,,,,6,
,,,,-1,
,,,,1,
,,,,-2,
,,,,3.5,
,,,,-4,
,,,,3,
,,,,0.5,
,,,,0,
,,,,1,
,,,,-1,
,,,,1.5,
,,,,-7.5,
,,,,-2,
,,,,-4,
,,,,0,
,,,,3,
,,,,-5,
,,,,0.5,
,,,,-0.5,
,,,,-2.5,
,,,,-1,
,,,,0.5,
,,,,-4.5,
,,,,5.5,
,,,,-4.5,
,,,,0,
,,,,-3.5,
,,,,-3.5,
,,,,-5,
,,,,-1.5,
,,,,-2,
,,,,-2.5,
,,,,-4,
,,,,-3.5,
,,,,0,
,,,,-2,
,,,,-1.5,
,,,,-2.5,
,,,,-8,
,,,,-8.5,
,,,,-4.5,
,,,,-1,
,,,,-187,
,,,,0.5,
,,,,-2.5,
,,,,-1,
,,,,-3,
,,,,1,
,,,,-5.5,
,,,,1,
,,,,4.5,
,,,,-3.5,
,,,,0.5,
,,,,-4,
,,,,-0.5,
,,,,-3,
,,,,-2.5,
,,,,-0.5,
,,,,-2,
,,,,-0.5,
,,,,-1,
,,,,-2,
,,,,-3,
,,,,0,
,,,,-1,
,,,,0,
,,,,2.5,
,,,,-6.5,
,,,,-1,
,,,,-2,
,,,,-2.5,
,,,,-1.5,
,,,,-9,
,,,,-1,
,,,,-2,
,,,,0,
,,,,-1.5,
,,,,3.5,
,,,,1,
,,,,-3.5,
,,,,-0.5,
,,,,0.5,
,,,,-6.5,
,,,,-4,
,,,,0,
,,,,-1.5,
,,,,2,
,,,,1.5,
,,,,-2,
,,,,-0.5,
,,,,0,
,,,,-1,
,,,,-1.5,
,,,,-5.5,
,,,,5.5,
,,,,-3,
,,,,-2,
,,,,0,
,,,,-4,
,,,,-11,
