Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,1550.0,-4.5,
,,,1670.0,-7.0,
,,,2360.0,0.0,
,,,340.0,-2.0,
,,,2760.0,2.5,
,,,1270.0,-3.0,
,,,930.0,-1.5,
,,,4550.0,-3.0,
,,,1160.0,-7.5,
,,,340.0,-4.0,
,,,740.0,-2.5,
,,,360.0,2.0,
,,,340.0,2.0,
,,,1460.0,0.0,
,,,1910.0,-3.5,
,,,2210.0,-1.5,
,,,2350.0,-9.0,
,,,1600.0,2.5,
,,,2330.0,2.5,
,,,6870.0,1.0,
,,,150.0,4.0,
,,,1460.0,0.0,
,,,880.0,3.0,
,,,5300.0,-3.0,
,,,340.0,-3.0,
,,,1920.0,3.0,
,,,120.0,-2.0,
,,,350.0,3.0,
,,,110.0,-5.0,
,,,1820.0,-1.0,
,,,2280.0,-1.5,
,,,2070.0,-1.0,
,,,2930.0,-3.0,
,,,10310.0,-2.0,
,,,440.0,0.0,
,,,340.0,-1.5,
,,,230.0,-3.0,
,,,5110.0,-1.5,
,,,930.0,-10.5,
,,,350.0,-3.5,
,,,690.0,-5.0,
,,,2850.0,2.0,
,,,350.0,-5.0,
,,,1150.0,-3.0,
,,,450.0,4.5,
,,,8380.0,-4.5,
,,,1750.0,1.0,
,,,2930.0,-2.0,
,,,8560.0,-0.5,
,,,610.0,-2.0,
,,,600.0,-3.5,
,,,370.0,0.0,
,,,3040.0,-4.0,
,,,340.0,-0.5,
,,,260.0,-2.5,
,,,340.0,1.5,
,,,3100.0,-3.0,
,,,340.0,-6.0,
,,,350.0,0.0,
,,,960.0,-8.0,
,,,3530.0,-3.5,
,,,320.0,-3.5,
,,,2050.0,-3.5,
,,,2890.0,-1.5,
,,,450.0,-2.5,
,,,570.0,0.5,
,,,1860.0,0.0,
,,,1840.0,1.0,
,,,19410.0,-6.0,
,,,2880.0,-9.5,
,,,150.0,-1.0,
,,,860.0,-8.0,
,,,960.0,-0.5,
,,,350.0,-4.0,
,,,290.0,-2.0,
,,,2070.0,4.5,
,,,410.0,-3.5,
,,,1740.0,-2.0,
,,,680.0,-11.0,
,,,1420.0,-1.0,
,,,1420.0,-4.5,
,,,1630.0,-5.5,
,,,4290.0,-7.5,
,,,340.0,1.5,
,,,5580.0,-4.5,
,,,1150.0,-4.5,
,,,1220.0,7.0,
,,,9630.0,2.0,
,,,340.0,-2.5,
,,,5780.0,-4.0,
,,,4100.0,-6.0,
,,,350.0,-6.5,
,,,360.0,5.0,
,,,330.0,2.5,
,,,2310.0,-7.0,
,,,170.0,-2.0,
,,,350.0,3.0,
,,,2030.0,-0.5,
,,,2700.0,-1.0,
,,,1050.0,-2.5,
,,,8510.0,-2.0,
,,,4100.0,0.5,
,,,1810.0,3.0,
,,,580.0,-0.5,
,,,820.0,-5.5,
,,,670.0,-1.5,
,,,1260.0,2.5,
,,,780.0,-1.5,
,,,1760.0,-1.0,
,,,660.0,-7.5,
,,,5010.0,6.0,
,,,3140.0,-2.0,
,,,5080.0,-2.0,
,,,520.0,1.0,
,,,350.0,-1.0,
,,,610.0,-1.0,
,,,170.0,-2.5,
,,,680.0,1.0,
,,,260.0,-8.0,
,,,1410.0,3.0,
,,,2280.0,-4.0,
,,,3130.0,-1.0,
,,,1770.0,-2.5,
,,,2280.0,1.0,
,,,4010.0,-5.0,
,,,1720.0,2.5,
,,,19940.0,-3.0,
